Geneid	Chr	Start	End	Strand	Length	Col_0h_rep1.Aligned.sortedByCoord.out.bam	Col_0h_rep2.Aligned.sortedByCoord.out.bam	Col_0h_rep3.Aligned.sortedByCoord.out.bam	Col_3h_rep1.Aligned.sortedByCoord.out.bam	Col_3h_rep2.Aligned.sortedByCoord.out.bam	Col_3h_rep3.Aligned.sortedByCoord.out.bam
gene-AT1G01920	CP002684.1	315983	319667	+	3685	874	894	854	900	1004	844
gene-AT1G01930	CP002684.1	319769	322895	-	3127	796	848	821	1033	1008	856
gene-AT1G01940	CP002684.1	322886	324917	+	2032	416	489	453	402	512	485
gene-AT1G01950	CP002684.1	325316	330619	+	5304	1232	1300	1336	1480	1644	1504
gene-AT1G01960	CP002684.1	330588	337912	-	7325	4924	4858	5054	6177	6380	5578
gene-AT1G01970	CP002684.1	338241	340088	+	1848	1624	1562	1456	1342	1406	1314
gene-AT1G01980	CP002684.1	340108	342040	-	1933	0	0	0	4	0	0
gene-AT1G01990	CP002684.1	342918	344400	-	1483	1079	1049	1062	1266	1387	1252
gene-AT1G02000	CP002684.1	345516	347603	+	2088	764	738	698	706	656	582
gene-AT1G02010	CP002684.1	347613	352545	+	4933	789	776	682	777	643	670
gene-AT1G02020	CP002684.1	352612	355124	-	2513	854	786	748	784	772	708
gene-AT1G02030	CP002684.1	355124	357258	-	2135	24	32	18	16	34	28
gene-AT1G02040	CP002684.1	357906	359078	-	1173	2	0	0	0	2	0
gene-AT1G02050	CP002684.1	359117	360746	-	1630	262	255	212	248	278	281
gene-AT1G02060	CP002684.1	360918	363142	-	2225	334	334	304	389	380	300
gene-AT1G02065	CP002684.1	365165	367443	+	2279	96	98	168	140	114	102
gene-AT1G02067	CP002684.1	366945	367166	-	222	0	2	0	0	0	0
gene-AT1G02070	CP002684.1	370195	371090	-	896	6	14	8	14	6	6
gene-AT1G02080	CP002684.1	373335	386913	+	13579	8652	8414	9002	8847	9510	7443
gene-AT1G02090	CP002684.1	387277	389808	-	2532	1627	1754	1714	1509	1564	1569
gene-AT1G02100	CP002684.1	389812	392816	+	3005	1725	1663	1466	1763	2052	1560
gene-AT1G02110	CP002684.1	392831	395528	+	2698	1519	1472	1454	1643	1593	1510
gene-AT1G02120	CP002684.1	395689	400001	+	4313	3604	3559	3294	3234	3506	2793
gene-AT1G02130	CP002684.1	399983	401919	-	1937	2374	2350	2242	2252	2468	2249
gene-AT1G04087	CP002684.1	402086	402294	+	209	0	0	0	0	0	0
gene-AT1G02140	CP002684.1	403100	404456	-	1357	3578	3813	3715	3670	4049	3408
gene-AT1G02145	CP002684.1	404600	408619	+	4020	1268	1297	1098	1307	1324	1216
gene-AT1G02150	CP002684.1	408622	410680	+	2059	4861	4943	4557	4685	4986	4474
gene-AT1G02160	CP002684.1	410744	411632	+	889	528	488	392	488	548	498
gene-AT1G02170	CP002684.1	411664	413554	+	1891	1058	1084	1088	1349	1361	1198
gene-AT1G02180	CP002684.1	413522	414649	-	1128	178	234	186	206	212	242
gene-AT1G02190	CP002684.1	415074	418027	+	2954	14	23	32	22	20	22
gene-AT1G02205	CP002684.1	418416	422579	+	4164	4472	4693	4470	3963	3729	3153
gene-AT1G08785	CP002684.1	424479	425189	-	711	0	2	0	2	0	2
gene-AT1G04093	CP002684.1	424666	425164	+	499	0	0	0	2	0	0
gene-AT1G02210	CP002684.1	427548	427811	-	264	0	0	0	0	0	0
gene-AT1G02220	CP002684.1	428650	430720	-	2071	700	585	454	401	414	446
gene-AT1G02230	CP002684.1	434965	436922	-	1958	52	14	28	24	30	18
gene-AT1G02250	CP002684.1	437860	439559	-	1700	0	3	2	7	4	2
gene-AT1G02260	CP002684.1	440200	442972	-	2773	668	718	588	714	712	632
gene-AT1G02270	CP002684.1	443118	446296	-	3179	902	954	793	1769	1834	1483
gene-AT1G08795	CP002684.1	447092	448257	+	1166	0	0	0	0	0	1
gene-AT1G02280	CP002684.1	448423	450426	-	2004	3880	4008	3791	4426	4763	4372
gene-AT1G02290	CP002684.1	450461	452743	-	2283	527	531	478	579	525	511
gene-AT1G02300	CP002684.1	453107	455519	+	2413	541	489	392	815	790	722
gene-AT1G02305	CP002684.1	455688	458164	+	2477	3314	3158	2868	3759	3892	3344
gene-AT1G04097	CP002684.1	455880	456198	-	319	4	0	0	2	0	0
gene-AT1G02310	CP002684.1	458133	460831	-	2699	26	36	36	50	72	64
gene-AT1G04103	CP002684.1	459122	461921	+	2800	2	6	2	5	18	6
gene-AT1G02320	CP002684.1	461828	461974	+	147	0	0	0	0	0	0
gene-AT1G02330	CP002684.1	461946	463618	-	1673	1114	1108	1054	1170	1335	1070
gene-AT1G02335	CP002684.1	463754	464981	-	1228	882	949	861	922	900	682
gene-AT1G02340	CP002684.1	465616	467880	-	2265	434	786	653	1440	1407	907
gene-AT1G02350	CP002684.1	469818	470693	+	876	96	107	83	259	305	214
gene-AT1G04107	CP002684.1	471127	471498	-	372	754	839	574	1049	813	676
gene-AT1G02360	CP002684.1	471883	473336	-	1454	442	390	466	390	492	382
gene-AT1G02370	CP002684.1	474373	476612	+	2240	250	402	260	288	294	262
gene-AT1G02380	CP002684.1	476945	479112	+	2168	238	281	336	208	216	266
gene-AT1G02390	CP002684.1	480650	483373	+	2724	158	170	130	254	332	228
gene-AT1G02400	CP002684.1	486800	489651	+	2852	290	306	276	584	851	716
gene-AT1G02405	CP002684.1	489874	490627	-	754	10	10	10	6	2	8
gene-AT1G02410	CP002684.1	490860	492979	+	2120	1202	1124	1007	1036	1096	1038
gene-AT1G02420	CP002684.1	493639	495158	+	1520	206	204	233	211	234	191
gene-AT1G04117	CP002684.1	494008	495548	-	1541	0	0	0	0	0	0
gene-AT1G02430	CP002684.1	495050	496332	-	1283	0	0	11	2	6	4
gene-AT1G04123	CP002684.1	495887	496190	+	304	2	10	2	10	9	8
gene-AT1G02440	CP002684.1	496372	497555	-	1184	2	0	0	0	0	0
gene-AT1G02450	CP002684.1	497917	498539	-	623	22	8	2	0	8	0
gene-AT1G02460	CP002684.1	504463	507268	-	2806	126	136	106	76	110	30
gene-AT1G02470	CP002684.1	511765	513721	-	1957	75	24	28	97	65	73
gene-AT1G02475	CP002684.1	513699	515422	-	1724	2752	2604	2480	2463	2313	2194
gene-AT1G02480	CP002684.1	515494	515566	+	73	0	0	0	0	0	0
gene-AT1G02490	CP002684.1	516569	516866	+	298	2	0	4	2	8	10
gene-AT1G02500	CP002684.1	518091	520495	+	2405	21089	20911	20555	20112	20838	17831
gene-AT1G02510	CP002684.1	520498	521668	-	1171	0	0	0	0	0	0
gene-AT1G02520	CP002684.1	523536	529069	+	5534	400	582	491	454	600	505
gene-AT1G02530	CP002684.1	529679	534677	+	4999	14	12	7	18	8	10
gene-AT1G02540	CP002684.1	534827	535699	-	873	0	0	0	0	0	0
gene-AT1G02550	CP002684.1	536483	537211	+	729	0	0	0	0	0	0
gene-AT1G02560	CP002684.1	537740	540127	+	2388	13793	14178	13822	13636	14275	12611
gene-AT1G02570	CP002684.1	541236	542245	+	1010	14	14	22	4	12	14
gene-AT1G02575	CP002684.1	543011	544057	+	1047	6	0	0	0	0	0
gene-AT1G02580	CP002684.1	544733	549202	+	4470	2	0	0	0	2	0
gene-AT1G08805	CP002684.1	551002	551636	-	635	0	0	2	0	0	1
gene-AT1G04127	CP002684.1	551289	551529	-	241	0	0	0	0	0	0
gene-AT1G02590	CP002684.1	552138	552761	-	624	0	0	0	0	0	0
gene-AT1G02600	CP002684.1	552640	552711	+	72	0	0	0	0	0	0
gene-AT1G02610	CP002684.1	553019	556152	-	3134	939	817	894	1520	1290	1205
gene-AT1G02620	CP002684.1	557092	558774	+	1683	36	43	26	128	152	84
gene-AT1G04133	CP002684.1	558071	558492	-	422	7	4	13	31	19	25
gene-AT1G04137	CP002684.1	559735	560251	+	517	0	0	0	0	0	0
gene-AT1G02630	CP002684.1	560610	562598	-	1989	30	44	58	48	66	48
gene-AT1G02640	CP002684.1	564018	567771	+	3754	1304	1388	1780	4748	4326	4060
gene-AT1G02650	CP002684.1	568558	570554	+	1997	64	60	80	64	82	54
gene-AT1G02660	CP002684.1	571826	575085	-	3260	1148	1015	1493	10071	10174	9738
gene-AT1G02670	CP002684.1	575922	580532	+	4611	96	144	108	136	154	100
gene-AT1G02680	CP002684.1	580625	582310	+	1686	510	494	420	636	662	572
gene-AT1G04143	CP002684.1	583471	583860	-	390	0	0	0	0	0	0
gene-AT1G02690	CP002684.1	584134	587327	+	3194	764	942	832	758	945	792
gene-AT1G02700	CP002684.1	588003	589480	+	1478	16	12	24	10	6	8
gene-AT1G02705	CP002684.1	589584	590406	+	823	100	104	72	56	74	104
gene-AT1G02710	CP002684.1	589706	589996	-	291	0	1	0	0	0	0
gene-AT1G02720	CP002684.1	591682	594264	+	2583	642	576	502	693	683	588
gene-AT1G02730	CP002684.1	594502	598657	-	4156	2780	3043	2708	2010	2374	2215
gene-AT1G02740	CP002684.1	599330	602199	-	2870	540	516	490	590	718	576
gene-AT1G02750	CP002684.1	602489	604387	+	1899	717	639	658	756	818	542
gene-AT1G02760	CP002684.1	604402	604474	+	73	0	0	0	0	0	0
gene-AT1G02770	CP002684.1	604873	606708	-	1836	22	24	40	30	30	24
gene-AT1G02780	CP002684.1	607799	609534	-	1736	24483	26563	24273	22610	25000	23046
gene-AT1G02790	CP002684.1	610363	612324	-	1962	0	0	0	0	0	0
gene-AT1G02800	CP002684.1	613197	616231	-	3035	201	236	208	204	134	183
gene-AT1G02810	CP002684.1	618061	620502	+	2442	736	782	702	844	1002	934
gene-AT1G02813	CP002684.1	620678	621329	+	652	10	8	6	12	4	0
gene-AT1G02816	CP002684.1	621453	623054	+	1602	1149	1054	1087	882	905	894
gene-AT1G02820	CP002684.1	623656	624567	-	912	3519	3524	3718	2358	2769	1992
gene-AT1G02830	CP002684.1	625084	625608	-	525	0	4	4	0	0	0
gene-AT1G02840	CP002684.1	626639	629993	+	3355	4551	4456	4184	4062	4511	3994
gene-AT1G02850	CP002684.1	630374	633420	+	3047	3653	2298	2224	2342	2254	2005
gene-AT1G02860	CP002684.1	635144	637262	+	2119	498	460	501	950	1036	764
gene-AT1G04147	CP002684.1	636337	636614	-	278	0	0	0	0	0	0
gene-AT1G02870	CP002684.1	637214	638681	-	1468	864	1014	990	1003	1128	988
gene-AT1G04153	CP002684.1	637772	638231	+	460	0	0	0	0	0	0
gene-AT1G08815	CP002684.1	641542	642317	+	776	18	30	6	16	11	12
gene-AT1G02880	CP002684.1	642505	644903	-	2399	1020	904	886	1100	1211	914
gene-AT1G02890	CP002684.1	645084	652001	-	6918	4756	4554	4776	5256	5678	4540
gene-AT1G02900	CP002684.1	653604	654457	-	854	476	526	534	570	596	648
gene-AT1G02910	CP002684.1	655568	658216	-	2649	2686	2588	2508	2290	2702	2312
gene-AT1G02920	CP002684.1	658578	659980	-	1403	2622	1783	1669	1684	1754	1420
gene-AT1G02930	CP002684.1	661088	662475	-	1388	2910	2054	1815	1617	1608	1874
gene-AT1G02940	CP002684.1	662963	664290	-	1328	24	19	52	28	22	30
gene-AT1G02950	CP002684.1	665119	666471	-	1353	330	378	380	332	386	346
gene-AT1G02952	CP002684.1	665354	666367	+	1014	0	0	0	0	0	0
gene-AT1G02960	CP002684.1	666807	669919	-	3113	794	729	674	828	832	657
gene-AT1G02965	CP002684.1	671661	672814	-	1154	0	0	0	0	0	0
gene-AT1G02970	CP002684.1	673306	676419	+	3114	140	186	164	152	154	124
gene-AT1G02980	CP002684.1	677360	681378	+	4019	6	8	14	6	2	12
gene-AT1G02990	CP002684.1	681331	687385	-	6055	1615	1611	1344	1548	1752	1405
gene-AT1G03000	CP002684.1	687795	692660	-	4866	1768	1656	1626	2020	2116	1845
gene-AT1G03010	CP002684.1	693190	696504	+	3315	28	20	54	38	52	34
gene-AT1G03020	CP002684.1	697919	698591	-	673	72	28	44	52	46	40
gene-AT1G03030	CP002684.1	701365	703929	+	2565	889	1008	830	800	953	944
gene-AT1G03040	CP002684.1	703847	706689	-	2843	1970	2154	1936	2002	2139	1984
gene-AT1G03050	CP002684.1	707485	710041	+	2557	1	0	0	0	1	0
gene-AT1G03055	CP002684.1	710018	711857	-	1840	636	564	553	400	386	412
gene-AT1G03060	CP002684.1	712440	727553	-	15114	3736	3802	3993	4426	4318	3797
gene-AT1G03070	CP002684.1	729830	731565	+	1736	80	66	86	62	70	60
gene-AT1G03080	CP002684.1	731554	738306	-	6753	4520	4116	4218	4110	4160	3712
gene-AT1G03090	CP002684.1	739544	744184	+	4641	2031	1797	2173	4562	4032	3678
gene-AT1G04157	CP002684.1	742298	742522	-	225	0	0	0	0	0	0
gene-AT1G03100	CP002684.1	743885	746701	-	2817	122	158	112	150	160	170
gene-AT1G04163	CP002684.1	744724	746147	+	1424	0	0	0	12	4	10
gene-AT1G03103	CP002684.1	747197	748057	+	861	0	0	0	0	0	0
gene-AT1G03106	CP002684.1	748101	749034	-	934	8	10	6	2	6	0
gene-AT1G03110	CP002684.1	749246	751976	+	2731	710	796	746	595	841	634
gene-AT1G03120	CP002684.1	752191	753140	+	950	18	30	38	24	44	33
gene-AT1G03130	CP002684.1	753307	754262	-	956	49688	48545	47350	41162	41886	39693
gene-AT1G03140	CP002684.1	754261	756303	-	2043	2380	2220	2142	3043	3102	2677
gene-AT1G03150	CP002684.1	756414	758678	+	2265	722	750	645	829	815	804
gene-AT1G04167	CP002684.1	760884	761099	-	216	0	0	0	0	0	0
gene-AT1G03160	CP002684.1	761261	766194	+	4934	3078	2856	2958	2299	2917	2192
gene-AT1G03165	CP002684.1	766336	767324	+	989	14	20	6	19	13	14
gene-AT1G04173	CP002684.1	767037	767385	-	349	0	0	2	0	0	0
gene-AT1G03170	CP002684.1	768376	770684	+	2309	17	10	10	76	45	40
gene-AT1G03180	CP002684.1	773358	775362	+	2005	202	176	200	160	222	214
gene-AT1G03190	CP002684.1	775527	780062	+	4536	628	635	574	640	654	654
gene-AT1G04177	CP002684.1	780107	780409	+	303	0	0	0	0	0	0
gene-AT1G03200	CP002684.1	780519	782946	+	2428	33	43	30	27	41	33
gene-AT1G03210	CP002684.1	782904	784346	+	1443	611	596	526	495	565	462
gene-AT1G03220	CP002684.1	786832	788722	+	1891	8452	7760	8980	10557	9716	9204
gene-AT1G03230	CP002684.1	789820	791689	+	1870	1205	1203	1252	1087	1241	1101
gene-AT1G03240	CP002684.1	792222	793060	-	839	5	14	7	3	0	2
gene-AT1G03250	CP002684.1	793315	795403	-	2089	1230	1309	1094	1338	1497	1156
gene-AT1G03260	CP002684.1	795449	798491	-	3043	408	444	434	618	633	559
gene-AT1G03270	CP002684.1	799115	802625	+	3511	262	240	216	230	268	244
gene-AT1G03280	CP002684.1	802970	807066	+	4097	1984	1854	1569	1747	1904	1676
gene-AT1G03290	CP002684.1	807361	813216	+	5856	1442	1168	1047	1560	1568	1264
gene-AT1G03300	CP002684.1	811033	813086	-	2054	352	376	355	332	238	242
gene-AT1G03310	CP002684.1	813413	816812	+	3400	2462	2403	1841	1494	1364	1418
gene-AT1G03320	CP002684.1	816989	817767	+	779	18	14	22	6	12	6
gene-AT1G03325	CP002684.1	817053	817178	-	126	0	0	0	0	0	0
gene-AT1G03330	CP002684.1	817934	819563	-	1630	1182	1184	1114	1284	1205	1126
gene-AT1G03340	CP002684.1	819612	821476	+	1865	104	152	84	218	210	180
gene-AT1G03350	CP002684.1	822582	824410	-	1829	1711	1764	1680	2180	2120	1995
gene-AT1G03360	CP002684.1	824517	826399	+	1883	508	590	606	482	618	490
gene-AT1G03365	CP002684.1	826523	830393	+	3871	1198	1124	1072	1327	1346	1100
gene-AT1G03370	CP002684.1	830550	835411	+	4862	1346	1133	1020	1656	1576	1427
gene-AT1G03380	CP002684.1	835767	841373	+	5607	3435	3017	2826	2953	2714	2558
gene-AT1G03390	CP002684.1	841033	842418	-	1386	0	0	2	0	0	0
gene-AT1G03395	CP002684.1	841677	842158	+	482	0	0	0	1	4	0
gene-AT1G03400	CP002684.1	842659	844251	-	1593	990	828	762	1104	1250	906
gene-AT1G03410	CP002684.1	844436	847683	-	3248	543	456	426	624	709	622
gene-AT1G04183	CP002684.1	845677	847683	+	2007	654	783	608	692	620	559
gene-AT1G03430	CP002684.1	847793	849621	+	1829	772	696	590	951	952	754
gene-AT1G03440	CP002684.1	852151	854297	+	2147	1502	1672	1650	946	836	636
gene-AT1G03445	CP002684.1	854410	859701	-	5292	14	20	20	14	22	4
gene-AT1G03457	CP002684.1	860761	864372	-	3612	458	430	482	760	723	785
gene-AT1G03470	CP002684.1	865895	867733	-	1839	198	236	236	218	246	304
gene-AT1G03475	CP002684.1	868853	871308	-	2456	8557	9034	8695	8338	9032	8054
gene-AT1G03490	CP002684.1	871874	872906	+	1033	0	0	0	0	0	0
gene-AT1G03495	CP002684.1	873166	874476	+	1311	209	185	152	40	50	44
gene-AT1G04187	CP002684.1	875056	875189	-	134	32	24	45	27	29	9
gene-AT1G04193	CP002684.1	875224	875340	-	117	3	0	0	0	3	2
gene-AT1G03502	CP002684.1	875358	875471	-	114	2	2	1	2	0	0
gene-AT1G03506	CP002684.1	875518	875604	-	87	7	1	7	6	1	0
gene-AT1G04197	CP002684.1	875679	875823	-	145	10	3	13	5	11	6
gene-AT1G03510	CP002684.1	876087	877556	-	1470	56	60	44	96	80	92
